gauge,hy_year,q,q_ml,gap_days,p,pet
235211,1988,55.4081284900568,14927.465,0,849.531794020989,1026.3
235211,1989,148.905387816274,40116.496,0,1066.60062427181,1001.9
235211,1990,183.62970159998,49471.549,0,1050.4238921253,1022.9
235211,1991,200.385730562276,53985.779,0,1021.27921928201,985.3
235211,1992,253.04683062572,68173.169,0,1220.30479720661,952.7
235211,1993,119.884299613148,32297.945,0,940.615096388216,991.6
235211,1994,125.545054499195,33823.005,0,842.895915436054,1005.9
235211,1995,154.12675177974,41523.18,0,1027.46216770923,964.3
235211,1996,209.632011290123,56476.813,0,1026.48507946022,997.5
235211,1997,42.7568873291077,11519.103,0,725.993961332376,1038.4
235211,1998,69.0934876345656,18614.428,0,819.578952579763,1045.2
235211,1999,23.1490599853016,6236.572,0,736.743695089822,1042.2
235211,2000,119.546820540693,32207.025,0,884.175666399063,1104.6
235211,2001,122.530663362628,33010.9,0,1068.91829559393,1034.6
235211,2002,115.154073115917,31023.578,0,831.561013444397,1056.1
235211,2003,137.904256741725,37152.689,0,923.211812469187,1102.6
235211,2004,180.262850467767,48564.488,0,1070.58534646646,1064.4
235211,2005,53.5216976809761,14419.243,0,753.160924846628,1106.5
235211,2006,13.9798293078957,3766.296,0,676.276109637458,1131.7
235211,2007,,,,882.146536348517,1127
235211,2008,,,,734.236767116736,1102.1
235211,2009,100.014818345282,26944.922,0,974.452044409337,1073.2
235211,2010,254.523965984277,68571.123,0,1223.90737288646,1028
235211,2011,136.89706062038,36881.341,0,824.591564110306,1057.2
235211,2012,,,,874.938809980097,1053.4
235211,2013,144.417936904316,38907.535,0,979.100443574433,1041.1
235211,2014,93.4437236832116,25174.608,0,855.295559323378,1037.4
235211,2015,38.5251774049758,10379.041,0,687.316164825091,990.1
235211,2016,196.847207552577,53032.468,0,1101.13623454824,943.2
235212,1965,341.044102124733,9569.003,0,1177.33418975611,978.6
235212,1966,383.634505956674,10764.003,0,1204.27179527022,938.2
235212,1967,109.451956131789,3070.999,0,753.721367577201,1032.1
235212,1968,463.684233233882,13010.0353333333,1,1560.10512600807,932.5
235212,1969,424.870641868275,11921.005,0,1178.58119586747,933.5
235212,1970,673.891208795314,18908.015,0,1601.82990892327,926.8
235212,1971,680.199257468635,19085.006,0,1625.73418754811,949.5
235212,1972,253.867354883113,7123.001,0,1030.50683702236,991
235212,1973,535.554883745269,15026.5794285714,2,1212.09743389322,982.3
235212,1974,799.821908957007,22441.374,0,1297.38547040637,953.3
235212,1975,509.759874558309,14302.824,0,1331.09829041413,965.5
235212,1976,369.50055077037,10367.433,0,1210.89743131253,944.9
235212,1977,413.899567684199,11613.179,0,1127.23162011503,977.1
235212,1978,542.180866091857,15212.491,0,1430.5495708041,941.2
